MP name,Nature of membership,Start of term,End of term,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Shreegopal Vyas,Elected,03-Apr-06,02-04-2012,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,"B. E.(Hons.), LL.B. Educated at Saugar University, Jabalpur, Madhya Pradesh and Ravishankar Vishwavidyalaya, Raipur, Chattisgarh",80,79,3,533,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,24.3,0.6,324,86%
Shriram Pal,Elected,19-Jun-09,04-07-2010,Uttar Pradesh,Bahujan Samaj Party,Male,Information not available,,Information not available,2,0,0,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",9.6,0.3,77,77%,7.8,0.4,56,76%
Shyam Benegal,Nominated,16-Feb-06,15-02-2012,,Independent,Male,Post Graduate,"M.A. (Economics) Educated at Nizam College, Osmania University, Hyderabad ",77,3,0,4,0.74," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",22,0.6,170,77%,11.4,0.1,86,68%
Shyamal Chakraborty,Elected,03-Apr-08,In office,West Bengal,Communist Party of India (Marxist),Male,Graduate,"B. A. Educated at University of Calcutta, Kolkata ",68,17,0,212,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,44.3,0.4,138,77%
Sitaram Yechury,Elected,19-Aug-11,In office,West Bengal,Communist Party of India (Marxist),Male,Post Graduate,"B.A. (Hons.) in Economics, M.A. (Economics) Educated at President's Estate School, New Delhi, St. Stephen's College, New Delhi and Jawaharlal Nehru University, New Delhi ",60,53,0,43,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,44.3,0.4,138,77%
Smriti Zubin Irani,Elected,18-Aug-11,In office,Gujarat,Bharatiya Janata Party,Female,Graduate,"Educated at Holy Child Auxilium, Delhi and School of Correspondence and Continuing Education, University of Delhi, Delhi",36,21,0,138,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10.6,0.2,74,77%,9,0.2,86,79%
Srinjoy Bose,Elected,18-Aug-11,In office,West Bengal,All India Trinamool Congress,Male,Graduate,"B. Com. (Pass) Educated at Don Bosco, Kolkata and Calcutta University, Kolkata",36,0,0,0,0.38," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10.6,0.2,74,77%,15.1,0,36,77%
Su. Thirunavukkarasar,Elected,30-Jun-04,10-11-2009,Madhya Pradesh,Indian National Congress,Male,Post Graduate,"B.L., M.A. Educated at Madras Law College, Chennai (Tamil Nadu) and Venkateshwara University (Andhra Pradesh)",63,0,0,0,0.50," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,2.1,0,18,83%
Subhash Prasad Yadav,Elected,08-Jul-04,07-07-2010,Bihar,Rashtriya Janata Dal,Male,Graduate,"Graduate, Educated at Magadh University, Bodh Gaya (Bihar) ",45,0,0,24,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,11,0,81,76%
Sukhendu Sekhar Roy,Elected,18-Aug-11,In office,West Bengal,All India Trinamool Congress,Male,Professional Post Graduate,"M.A., LL.B. Educated at Kalindri High School, Malda, St. Paul's College, Rabindra Bharati University and Calcutta University, Kolkata",63,21,0,21,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10.6,0.2,74,77%,15.1,0,36,77%
Surendra Motilal Patel,Elected,19-Aug-05,18-08-2011,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.E. (Civil) Educated at Sardar Patel University, Vallabh Vidyanagar (Gujarat)",74,2,0,0,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.5,0.6,141,77%,11.4,0,104,79%
Suryakantbhai Acharya,Elected,19-Aug-05,21-12-2009,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.A., B.Com., LL.B. Educated at M.P.Shah College and Shamaldas College, Gujarat University, Bhavnagar and Dharmendra College, Gujarat University, Rajkot",82,0,0,0,0.57," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",6.8,0.2,49,77%,4,0,31,79%
Sushila Tiriya,Elected,04-Apr-06,03-04-2012,Orissa,Indian National Congress,Female,Graduate,"B.A., C.T., B.Ed. Educated at Karanjia College, Karanjia (Utkal University) ",56,29,0,159,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,34.5,0,171,82%
Swapan Sadhan Bose,Elected,19-Aug-05,18-08-2011,West Bengal,All India Trinamool Congress,Male,Graduate,"B. Com., LL.B. Educated at St. Xavier's College, University of Calcutta ",64,1,0,0,0.19," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.5,0.6,141,77%,29.6,0.4,103,77%
Syed Azeez Pasha,Elected,03-Apr-06,02-04-2012,Andhra Pradesh,Communist Party of India,Male,Graduate,"B.A., LL.B. Educated at Osmania University, Hyderabad and Osmania University Law College, Hyderabad",67,70,0,490,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.6,0.8,254,78%
Syeda Anwara Taimur,Elected,03-Apr-04,02-04-2010,Assam,Indian National Congress,Female,Post Graduate,"B.A. (Hons.), M.A. (Economics) Educated at Jorhat Girls' High School, J.B. College, Jorhat and Aligarh Muslim University",75,1,0,72,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8.3,0.2,62,77%,10.5,0,53,84%
T. Ratna Bai,Elected,10-Apr-08,In office,Andhra Pradesh,Indian National Congress,Female,Inter/ Higher Secondary,"High School Educated at Government High School, Rampachodavaram, Distt. East Godavari (Andhra Pradesh) ",65,11,0,632,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
T. Subbarami Reddy,Elected,10-Apr-08,In office,Andhra Pradesh,Indian National Congress,Male,Doctorate,"B.Com. Educated at Nizam College, Hyderabad ",68,27,10,732,0.65," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
T.K. Rangarajan,Elected,03-Apr-08,In office,Tamil Nadu,Communist Party of India (Marxist),Male,Inter/ Higher Secondary,"SSLC Educated at GMTTV High School, Chennai ",70,30,0,218,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
T.M. Selvaganapathi,Elected,30-Jun-10,In office,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"B.A. (Economics), M.A. (Economics), LL.B. Educated at Loyola College, Chennai, Jawaharlal Nehru University, New Delhi and Campus Law Centre, University of Delhi, Delhi",53,10,0,350,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.4,0.3,162,70%
T.N. Seema,Elected,03-Apr-10,In office,Kerala,Communist Party of India (Marxist),Female,Doctorate,"B.A., M.A. (Malayalam), Ph.D. in Malayalam Literature from University of Kerala Diploma in Tamil from Central Institute of Indian Languages, Mysore Diploma in Universalising Social Security from Institute of Social Science, Hague, the Netherlands",49,18,0,203,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,28.7,0.7,234,70%
T.T.V. Dhinakaran,Elected,30-Jun-04,29-06-2010,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,,48,0,0,117,0.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,17.2,0.2,81,70%
Tapan Kumar Sen,Elected,03-Apr-12,In office,West Bengal,Communist Party of India (Marxist),Male,Graduate,"B.A.(Hons.) in Economics Educated at Presidency College, Kolkata University ",60,84,0,164,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,44.3,0.4,138,77%
Tarini Kanta Roy,Elected,03-Apr-08,In office,West Bengal,Communist Party of India (Marxist),Male,Under Graduate,"Undergraduate, Educated at A.B.N. Seal College (formerly Victoria College), Cooch Behar (West Bengal) ",62,14,0,84,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,44.3,0.4,138,77%
Tariq Anwar,Elected,05-Jul-10,In office,Maharashtra,Nationalist Congress Party,Male,Graduate,"B.Sc. Educated at College of Commerce, Patna, Magadh University, Bodh Gaya (Bihar) ",61,46,0,400,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Tarlochan Singh,Elected,02-Aug-04,01-08-2010,Haryana,Independent,Male,Post Graduate,"M.A. (Economics) Educated at Panjab University, Chandigarh ",79,30,0,40,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,81,77%,10.5,0,44,87%
Tarun Vijay,Elected,05-Jul-10,In office,Uttarakhand,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Dehradun and Osmania University, Hyderabad",56,75,4,155,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,51.7,2.2,395,92%
Thaawar Chand Gehlot,Elected,03-Apr-12,In office,Madhya Pradesh,Bharatiya Janata Party,Male,Information not available,,Information not available,5,0,69,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.4,0.3,45,83%
Thomas Sangma,Elected,13-Apr-08,In office,Meghalaya,Nationalist Congress Party,Male,Diploma Course,"Under Graduate, Diploma in Computer Applications Educated at Tura Government College (N.E.H.U.), Tura and C.A. I. (Kolkata), Tura ",51,7,4,55,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,7,4,55,85%
Tiruchi Siva,Elected,25-Jul-07,In office,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (Eng.), B.L. Educated at Periyar E.V.R. College, Madras University and Tiruchi Law College, Bharatidassan University ",58,84,0,22,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
Upendra Kushwaha,Elected,08-Jul-10,In office,Bihar,Janata Dal (United),Male,Post Graduate,"B.Sc., M.A. (Political Science) Educated at Patna Science College, Patna and B.R. Ambedkar Bihar University, Muzaffarpur (Bihar)",51,4,0,141,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,24.6,0.1,177,76%
V. Hanumantha Rao,Elected,22-Jun-10,In office,Andhra Pradesh,Indian National Congress,Male,Graduate,"B.A. Educated at Osmania University, Hyderabad ",64,16,0,111,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,23.4,0.8,297,78%
V. Maitreyan,Elected,25-Jul-07,In office,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"M.B.B.S., M.D. (General Medicine), D.M. (Medical Oncology) Educated at Government Medical College, Nagpur University, Madras Medical College, University of Madras and Cancer Institute (WIA), University of Madras ",56,41,0,31,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
V.P. Singh Badnore,Elected,05-Jul-10,In office,Rajasthan,Bharatiya Janata Party,Male,Graduate,"B.A.(Hons.), Business Management Educated at Mayo College, Government College, Ajmer and A.S.C.I., Hyderabad",64,23,0,29,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,16,0,170,81%
Vandana Hemant Chavan,Elected,03-Apr-12,In office,Maharashtra,Nationalist Congress Party,Female,Information not available,,Information not available,0,0,0,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.8,0.2,53,77%
Varinder Singh Bajwa,Elected,10-Apr-04,09-04-2010,Punjab,Shiromani Akali Dal,Male,Post Graduate,"M.A. (Political Science) Educated at Panjab University, Chandigarh",67,3,0,108,0.43," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",8.3,0.2,62,77%,5.1,0,92,78%
Vasanthi Stanley,Elected,03-Apr-08,In office,Tamil Nadu,Dravida Munnetra Kazhagam,Female,Post Graduate,"B.A., B.Ed., M.A. (English), B.L. Educated at Madurai Kamaraj University, Madurai and Dr. Ambedkar Law University, Chennai ",50,46,0,134,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
Veer Pal Singh Yadav,Elected,03-Apr-06,02-04-2012,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B.A., LL.B. Educated at Atmaram Inter College, Balliya (Bareilly), Shri Gulab Ray Inter College, Bareilly and Bareilly College, Bareilly, Uttar Pradesh",57,14,0,23,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,19.5,1.2,117,76%
Veer Singh,Elected,26-Nov-08,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B. Educated at J.S. Hindu College, Amroha, Jyotiba Phule Nagar and K.G.K. College, Muradabad, Uttar Pradesh",56,21,0,13,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Vegad Shankarbhai N.,Elected,03-Apr-12,In office,Gujarat,Bharatiya Janata Party,Male,Information not available,,Information not available,0,0,0,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,4.6,0.2,37,79%
Vijay Jawaharlal Darda,Elected,05-Jul-10,In office,Maharashtra,Indian National Congress,Male,Diploma Course,Diploma in Jounalism & Printing Technology,62,24,5,566,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Vijay Mallya,Elected,01-Jul-10,In office,Karnataka,Independent,Male,Graduate,"B.Com. (Hons.), Doctor of Philosophy in Business Administration (Honoris Causa) conferred by Southern California University, Irvine, USA Educated at St. Xaviers College, Kolkata",56,0,0,123,0.39," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,11,0.8,73,69%
Vijaykumar Rupani,Elected,03-Apr-06,02-04-2012,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. Educated at Saurashtra University, Rajkot (Gujarat)",56,17,0,85,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,15.7,0,152,79%
Vijaylaxmi Sadho,Elected,30-Jun-10,In office,Madhya Pradesh,Indian National Congress,Female,Doctorate,"M.B.B.S. Educated at Gandhi Medical College, Bhopal",56,11,0,0,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.8,0.5,165,83%
Vikram Verma,Elected,03-Apr-06,02-04-2012,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Hindi and Political Science), LL.B. Educated at Christian College, Indore and Gujarati College, Indore (Madhya Pradesh) ",68,15,0,0,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,21.6,0.5,186,83%
Vinay Katiyar,Elected,03-Apr-12,In office,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Com. Educated at Kanpur University, Kanpur (Uttar Pradesh) ",57,8,0,0,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Viplove Thakur,Elected,03-Apr-06,02-04-2012,Himachal Pradesh,Indian National Congress,Female,Post Graduate,"B.A., M.A. (Political Science) Educated at Panjab University, Chandigarh",68,27,0,393,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,22.3,0,198,88%
Virendra Bhatia,Elected,03-Apr-06,24-05-2010,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"LL.B., M.Com., M.A.( Sociology), Diploma in Labour Law Educated at Lucknow University, Lucknow (Uttar Pradesh) ",65,5,0,16,0.33," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Vivek Gupta,Elected,03-Apr-12,In office,West Bengal,All India Trinamool Congress,Male,Information not available,,Information not available,0,0,13,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,7.4,0,13,77%
Y. P. Trivedi,Elected,03-Apr-08,In office,Maharashtra,Nationalist Congress Party,Male,Graduate,"B. Com., LL.B. Educated at Sydnam College, Mumbai",83,21,2,341,0.58," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Y. S. Chowdary,Elected,22-Jun-10,In office,Andhra Pradesh,Telugu Desam Party,Male,Professional Graduate,"B.E. (Bachelor of Engineering) from Chaitanya Institute of Technology, Hyderabad Master of Engineering from P.S.G. College of Technology, Coimbatore",51,20,0,215,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,14.2,0.1,182,78%
